# Mirrored repos, one per line: <sourcehut-owner> <sourcehut-repo> [github-repo]

blastwave      bw
bptato         chawan
fijarom        fokus
jprotopopov    kefir
kovmir         arm-assembly-intro
mil            sxmo-utils
mlb            linkhut
sircmpwn       betamine
sircmpwn       bunnix
sircmpwn       git.sr.ht
sircmpwn       hare
sircmpwn       hare-ev
sircmpwn       himitsu
sircmpwn       hub.sr.ht
sircmpwn       man.sr.ht
technomancy    fennel
thestr4ng3r    chiaki
williewillus   thdawn
xerool         fennel-ls
